Event,Time,Device Identifier,LifetimeID
Connect,2014-08-20 11:42:16,000FF1103111925014061123&0,{396CB303-D851-42C3-9A8F-349A717ACA9F}
Connect,2014-09-01 14:47:20,000FF1103111925014061123&0,{EA4A793B-55DD-40A7-BA18-312EDD4F2D83}
Connect,2014-09-09 09:15:04,000FF1103111925014061123&0,{60D8AB0D-B0B2-491A-84BA-F7A8C7A1886F}
Connect,2014-09-17 10:31:51,000FF1103111925014061123&0,{7B7EADEA-EB71-49D7-BF89-32AA142B978F}
Connect,2014-09-19 00:48:42,000FF1103111925014061123&0,{CE93E804-ACE5-4271-B581-7DCA1ABD3957}
Connect,2014-09-23 14:54:11,000FF1103111925014061123&0,{FACFFCE4-2232-4014-AE15-60DDF02FADAE}
Disconnect,2014-09-23 14:55:20,000FF1103111925014061123&0,{FACFFCE4-2232-4014-AE15-60DDF02FADAE}
Connect,2014-09-29 09:48:25,000FF1103111925014061123&0,{C5CA6AB9-40EB-44E4-ADEC-491AB1D0BF45}
Connect,2014-10-01 17:14:57,000FF1103111925014061123&0,{65D98F6F-9EDB-4625-BA87-DBC0A624F558}
Connect,2014-10-03 14:17:01,000FF1103111925014061123&0,{AD09F9BD-0726-4F4B-8AEC-858EACC18FCD}
Connect,2014-10-07 15:29:59,000FF1103111925014061123&0,{644E8163-CAC8-466A-9F74-5043D3BBFCB1}
Connect,2014-10-09 14:09:44,000FF1103111925014061123&0,{5618D982-A993-4617-B432-C423F29AAD8F}
Connect,2014-10-17 16:22:57,000FF1103111925014061123&0,{0F9BD3A1-9CBA-4980-BD80-65F870A01EA9}
Connect,2014-10-21 17:13:32,000FF1103111925014061123&0,{C9B6918F-9852-4658-952A-D42B7C345F30}
Connect,2014-10-23 15:16:14,000FF1103111925014061123&0,{AE97BF83-6F8D-4A27-9DEA-3F24F5CE0CE4}
Connect,2014-12-02 16:21:42,000FF1103111925014061123&0,{420A98D4-817F-4B6A-A390-7FDEEA8754AC}
Disconnect,2014-12-02 16:25:29,000FF1103111925014061123&0,{420A98D4-817F-4B6A-A390-7FDEEA8754AC}
Connect,2014-12-10 19:21:56,000FF1103111925014061123&0,{E177C82B-28BA-4A42-9A54-88BC1CBBCB52}
Connect,2014-12-18 17:42:12,000FF1103111925014061123&0,{690B2B9B-8789-449D-A0D3-49D8415989CC}
Disconnect,2014-12-18 19:05:00,000FF1103111925014061123&0,{690B2B9B-8789-449D-A0D3-49D8415989CC}
Connect,2015-01-08 19:37:34,000FF1103111925014061123&0,{611C7C3B-F092-4ABF-9137-F5B1FD20466A}
Connect,2015-02-05 18:15:09,000FF1103111925014061123&0,{C2998586-9421-48AF-BE74-8445B283549C}
Disconnect,2015-02-05 18:19:45,000FF1103111925014061123&0,{C2998586-9421-48AF-BE74-8445B283549C}
Connect,2014-08-22 14:48:41,547640570&0,{FF0115A0-E7CF-4D58-BFC8-C9C25D248B59}
Connect,2014-09-23 14:55:26,547640570&0,{4214B184-2003-4EF6-BF1D-D293D5CB9D88}
Connect,2014-10-15 16:19:11,547640570&0,{738BB261-2A8F-4BE6-9754-963BCA5F2166}
Connect,2015-01-27 19:12:13,547640570&0,{C9023E37-5784-4A7C-AF4C-CCB734F81988}
Disconnect,2015-01-27 19:19:29,547640570&0,{C9023E37-5784-4A7C-AF4C-CCB734F81988}
Connect,2014-09-03 11:57:36,AA00000000001955&0,{571F1A25-634B-470D-ACBE-B4489F853B03}
Disconnect,2014-09-03 11:58:07,AA00000000001955&0,{571F1A25-634B-470D-ACBE-B4489F853B03}
Connect,2014-09-17 10:31:10,AA00000000001955&0,{7B7EADEA-EB71-49D7-BF89-32AA142B978F}
Disconnect,2014-09-17 10:32:37,AA00000000001955&0,{7B7EADEA-EB71-49D7-BF89-32AA142B978F}
Connect,2014-12-04 18:28:06,AA00000000001955&0,{2FC346C0-52D2-498B-B7E5-FA861B914459}
Disconnect,2014-12-04 18:28:31,AA00000000001955&0,{2FC346C0-52D2-498B-B7E5-FA861B914459}
Connect,2014-12-16 16:17:15,AA00000000001955&0,{C0C2774F-849A-4A51-A6AA-251B80499B34}
Connect,2015-01-12 19:18:14,AA00000000001955&0,{16206A89-487C-4E26-95B5-554DD5AD5727}
